,,,,,,,
,,370.6529,140.0817,0.3, Acetone,Methanol,
,,118.3505,885.1196,0.295, Acetone,Ethanol,
,,649.8687,453.4673,0.306, Acetone,Chloroform,
,,615.673,811.3338,0.335, Acetone,Benzene,
,,1046.6524,865.266,0.3084, Acetone,Phenol,
,,1166.8333,1090.0262,0.2862, Acetone,CycloHexane,
,,184.2662,226.558,0.3009, Acetone,Toluene,
,,36.2965,434.8228,0.2987, TwoButanone,OnePropanol,
,,651.1909,301.8389,0.3054, TwoButanone,Benzene,
,,396.4935,886.5703,0.2971, TwoButanone,CycloHexane,
,,754.9547,280.383,0.3086, TwoButanone,Toluene,
,,429.8705,727.649,0.2925, TwoButanone,nHeptane,
,,247.9492,727.5102,0.295, TwoButanone,Water,
,,148.867,213.3829,0.3016, Methanol,Tetrachloromethane,
,,644.8573,898.3999,0.1563, Methanol,Tribromomethane,
,,605.7381,235.4493,0.2963, Methanol,Acetonitrile,
,,503.0737,181.5533,0.2996, Methanol,OneTwoDichloroethane,
,,681.5104,931.4616,0.9809, Methanol,AceticAcid,
,,674.4614,1809.8868,0.3536, Methanol,Ethanol,
,,378.8254,1430.7379,0.2892, Methanol,Dimethylsulfoxide,
,,879.0968,1063.6098,0.6381, Methanol,PropionicAcid,
,,343.7042,314.5879,0.2981, Methanol,NNDimethylformamide,
,,348.6035,1020.1431,0.2921, Methanol,Propanol,
,,16.6465,217.1261,0.3051, Methanol,Thiophene,
,,327.9991,376.2667,0.3057, Methanol,Methylacrylate,
,,168.3182,497.4171,0.3079, Methanol,TwoButanone,
,,50.145,78.0859,0.3056, Methanol,Tetrahyrofuran,
,,124.0904,0.3428,9.1633, Methanol,OneFourDioxane,
,,24.9003,9.5349,0.3011, Methanol,Ethylacetate,
,,90.1051,1217.1035,0.2976, Methanol,Sulfolane,
,,676.836,169.9831,0.2958, Methanol,OneButanol,
,,307.4271,217.9098,0.3003, Methanol,TwoButanol,
,,169.4153,383.1579,0.3002, Methanol,OneFourButanediol,
,,607.405,76.7683,0.2985, Methanol,Pyridine,
,,345.5416,420.7355,0.2962, Methanol,MethylMethacrylate,
,,1069.2756,906.5741,0.7182, Methanol,MethylisopropylKetone,
,,793.8173,486.3299,0.2483, Methanol,Piperidine,
,,308.561,285.442,0.3036, Methanol,Hexafluorobenzene,
,,446.952,450.5858,0.3152, Methanol,Chlorobenzene,
,,45.0888,84.1956,0.3027, Methanol,Benzene,
,,590.279,380.8401,0.2963, Methanol,Aniline,
,,642.3761,6.2901,0.2987, Methanol,TwoMethylpyridine,
,,590.882,1169.7242,0.1387, Methanol,ThreeMethylpyridine,
,,930.591,1244.1303,0.4701, Methanol,FourMethylpyridine,
,,857.0852,1348.0903,0.4707, Methanol,Cyclohexene,
,,721.6136,1158.5131,0.4694, Methanol,Cyclohexane,
,,407.744,117.2473,0.3008, Methanol,nButylAcetate,
,,226.082,385.6823,0.3095, Methanol,Hexane,
,,163.4505,86.1482,0.3075, Methanol,Triethylamine,
,,304.2242,452.3483,0.3053, Methanol,Toluene,
,,1178.5792,1618.9792,0.4568, Methanol,Two6Dimethylpyridine,
,,1315.1631,1497.2135,0.4222, Methanol,OneHeptane,
,,328.2162,453.0017,0.2961, Methanol,Methylcyclohexane,
,,1619.3829,1622.2911,0.4365, Methanol,Heptane,
,,476.8503,1126.1143,0.2874, Methanol,Ethylbenzene,
,,939.7275,1090.9297,0.4643, Methanol,Mxylene,
,,273.332,59.625,0.3051, Methanol,Pxylene,
,,1313.5497,1143.9059,0.4163, Methanol,OneOctene,
,,1444.585,1719.4586,0.4397, Methanol,Octane,
,,1500.2043,1519.3346,0.4277, Methanol,TwoTwoFourTrimethylpentane,
,,1080.1231,1038.1572,0.4251, Methanol,Water,
,,991.1609,822.1357,0.291, Methanol,Chloroform,
,,974.6545,851.107,0.2921, Methanol,Ethanol,
,,1456.3583,1147.8132,0.4396, Methanol,Acetone,
,,1681.6918,1511.4353,0.4381, Methanol,Benzene,
,,1447.0909,1386.4703,0.4313, Methanol,CycloHexane,
,,189.0469,792.802,0.2999, Methanol,Toluene,
,,105.4657,1335.3416,0.2873, Methanol,nHeptane,
,,67.2902,70.5092,0.3009, Ethanol,Tetrachloroethylene,
,,296.2432,118.0803,0.3003, Ethanol,Acetonitrile,
,,761.7553,1094.8556,0.4893, Ethanol,OneTwoDichloroethane,
,,1313.9316,1862.4639,0.441, Ethanol,Acetic Acid,
,,884.023,1008.0037,0.4064, Ethanol,OneTwoEthanediol,
,,1566.439,1598.3126,0.4408, Ethanol,TwoPropanol,
,,685.8542,807.5935,0.29, Ethanol,Thiophene,
,,529.7267,338.1632,0.2964, Ethanol,TwoButanone,
,,333.3502,939.387,0.2926, Ethanol,OneFourDioxane,
,,34.1971,190.7763,0.305, Ethanol,Sulfolane,
,,1644.0484,203.7691,0.3704, Ethanol,TwoButanol,
,,690.1392,529.3472,0.3125, Ethanol,TwoMethylOnePropanol,
,,222.3096,1057.7115,0.2918, Ethanol,Pyridine,
,,64.4957,463.1931,0.301, Ethanol,MethylMethacrylate,
,,505.5637,111.8389,0.2988, Ethanol,Methylisopropyl,
,,1195.1601,705.0897,0.5676, Ethanol,PropylAcetate,
,,559.8205,802.5411,0.2721, Ethanol,ThreeMethylOnebutanol,
,,53.1671,82.0442,0.3023, Ethanol,Bromobenzene,
,,163.6655,169.9802,0.3017, Ethanol,Chlorobezene,
,,456.9676,386.5893,0.2963, Ethanol,Benzene,
